173,Khalid Choukoud,Netherlands,Long distance,2007,Stanozolol,2 years
174,Linford Christie,Great Britain,Sprinting,1999,Nandrolone,2 years
175,Vivian Chukwuemeka,Nigeria,Shot put and discus,2009 2012,Oxymetholone Stanozolol,2 years Life ban
176,Clement Chukwu,Nigeria,Sprinting,1992,"",4 years
177,Yelena Churakova,Russia,Hurdling,2013,Methandienone & Dehydrochloromethyltestosterone,2 years
178,Hazel Clark,United States,Middle distance,2001,Pseudoephedrine,Public warning
179,Venolyn Clarke,Canada,Sprinting,2001,Stanozolol,4 years
180,Ramon Clay,United States,Sprinting,2000–2004,Steroids and hormones (BALCO scandal),2 years
181,Luis Collazo,Puerto Rico,Long distance,2011,Exogenous steroids,2 years
182,Michelle Collins,United States,Sprinting,2002–2004,"THG, EPO (BALCO scandal)",4 years (Reduced from 8 years)
183,Rosa Colorado,Spain,Hurdling,1980,Steroids,18 months
184,Hannah Cooper,Liberia,Sprinting,1999,"",""
185,Harold Connolly,United States,Hammer throw,1960's,Self-admitted; Anabolic steroids,–
186,Jessica Cosby,United States,Hammer throw,2009,"Hydrochlorothiazide, chlorothiazide",4 months
187,Nuno da Costa,Portugal,Cross country running,2011,EPO,2 years
188,Daniela Costian,Romania,Discus throw,1986,"",""
189,Julie Coulaud,France,Middle/Long distance,2008,Testosterone,3 years
190,Crystal Cox,United States,Sprinting,2002 2001–2004,Ephedrine (positive test) Anabolic steroids (self admitted),Public warning 4-year ban
191,Shawn Crawford,United States,Sprinting,2012,3 whereabouts failures,2 years
192,Olga Cristea,Moldova,Middle-distance,2010,Testosterone,2 years
193,Peter Dajia,Canada,Shot put,1983– 1986,"Self admittance in 1989: Steroids Positive test: Steroids, Testosterone",18 months
194,Martina Danišová-Hrasnová,Slovakia,Hammer throw,2003,Nandrolone,2 years
195,Bonnie Dasse,United States,Shot put,1992,Clenbuterol,4 years
196,Marie Davenport (Marie McMahon),Ireland,Long distance,1996,Phenylpropanolamine,Reprimand
197,Walter Davis,United States,Triple jump,2013,3 whereabouts failures,1 year
198,Alice Decaux,France,Hurdling,2013,β-Methylphenethylamine,6 months
199,Mary Decker (Mary Slaney),United States,Middle distance,1996,Testosterone,""
200,Tony Dees,United States,Hurdling,2001,"Norandrosterone, Noretiochdandone",Life ban
201,Hind Dehiba,France,Middle distance,2007,EPO,2 years
202,Tatyana Dektyareva,Russia,Hurdling,2014,Ostarine,2 years
